,0
1848,three
1849,guesses
1850,every
1851,night
1852,guess
1853,name
1854,and
1855,you
1856,havent
1857,guessed
1858,before
1859,the
1860,months
1861,you
1862,shall
1863,mine
1864,well
1865,she
1866,thought
1867,shed
1868,sure
1869,guess
1870,thats
1871,name
1872,before
1873,the
1874,month
1875,was
1876,all
1877,right
1878,says
1879,she
1880,agree
1881,all
1882,right
1883,that
1884,says
1885,and
1886,law
1887,how
1888,that
1889,twirled
1890,thats
1891,tail
1892,well
1893,the
1894,next
1895,day
1896,her
1897,husband
1898,took
1899,her
1900,into
1901,the
1902,room
1903,and
1904,there
1905,was
1906,the
1907,flax
1908,and
1909,the
1910,days
1911,food
1912,now
1913,theres
1914,the
1915,flax
1916,says
1917,and
1918,that
1919,aint
1920,spun
1921,this
1922,night
1923,off
1924,goes
1925,your
1926,head
1927,and
1928,then
1929,went
1930,out
1931,and
1932,locked
1933,the
1934,door
1935,hed
1936,hardly
1937,gone
1938,when
1939,there
1940,was
1941,knocking
1942,against
1943,the
1944,window
1945,she
1946,upped
1947,and
1948,she
1949,oped
1950,and
1951,there
1952,sure
1953,enough
1954,was
1955,the
1956,little
1957,old
1958,thing
1959,sitting
1960,the
1961,ledge
1962,wheres
1963,the
1964,flax
1965,says
1966,here
1967,says
1968,she
1969,and
1970,she
1971,gave
1972,him
1973,well
1974,come
1975,the
1976,evening
1977,knocking
1978,came
1979,again
1980,the
1981,window
1982,she
1983,upped
1984,and
1985,she
1986,oped
1987,and
1988,there
1989,was
1990,the
1991,little
1992,old
1993,thing
1994,with
1995,five
1996,skeins
1997,flax
1998,his
1999,arm
2000,here
2001,says
2002,and
2003,gave
2004,her
2005,now
2006,whats
2007,name
2008,says
2009,what
2010,that
2011,bill
2012,says
2013,she
2014,noo
2015,that
2016,aint
2017,says
2018,and
2019,twirled
2020,his
2021,tail
2022,that
2023,ned
2024,says
2025,she
2026,noo
2027,that
2028,aint
2029,says
2030,and
2031,twirled
2032,his
2033,tail
2034,well
2035,that
2036,mark
2037,says
2038,she
2039,noo
2040,that
2041,aint
2042,says
2043,and
2044,twirled
2045,his
2046,tail
2047,harder
2048,and
2049,away
2050,flew
2051,well
2052,when
2053,her
2054,husband
2055,came
2056,there
2057,were
2058,the
2059,five
2060,skeins
2061,ready
2062,for
2063,him
2064,see
2065,shant
2066,have
2067,kill
2068,you
2069,tonight
2070,dear
2071,says
2072,youll
2073,have
2074,your
2075,food
2076,and
2077,your
2078,flax
2079,the
2080,morning
2081,says
2082,and
2083,away
2084,goes
2085,well
2086,every
2087,day
2088,the
2089,flax
2090,and
2091,the
2092,food
2093,were
2094,brought
2095,and
2096,every
2097,day
2098,that
2099,there
2100,little
